,claim,URL,truth_value,date,topic
1521,"Military data from 2021 show military members experienced spikes of 300% in miscarriages, almost 300% in cancer diagnoses and 1,000% in neurological issues.",https://www.politifact.com/factchecks/2022/jan/31/instagram-posts/numbers-were-based-faulty-data-military-spokespers/,false,"January 28, 2022",coronavirus
1522,Photo shows Amish who drove 2.5 hours with the “Freedom Convoy” to cook them food at their next stop.,https://www.politifact.com/factchecks/2022/jan/31/viral-image/no-isnt-photo-amish-following-and-feeding-freedom-/,false,"January 30, 2022",coronavirus
1523,"In the U.S., myocarditis cases among ages 12 to 20 numbered four in 2019; four in 2020; and 2,236 in 2021.",https://www.politifact.com/factchecks/2022/jan/31/facebook-posts/social-media-claim-misleads-risk-myocarditis/,barely-true,"February 22, 2022",coronavirus
1524,"Vaccine makers “are shipping lots of jabs with varying ingredients, potency & EVEN placebo lots.”",https://www.politifact.com/factchecks/2022/jan/31/facebook-posts/manufacturers-are-not-shipping-covid-19-vaccines-v/,false,"January 24, 2022",coronavirus
1525,"“Without a shred of clinical data to support its decision, the Biden Administration has revoked the emergency use authorization for lifesaving monoclonal antibody treatments.”",https://www.politifact.com/factchecks/2022/jan/31/ron-desantis/fda-drug-companies-say-antibody-treatments-are-not/,barely-true,"January 25, 2022",coronavirus
1526,"“Biden won’t allow Delta-variant COVID patients to get proven and effective monoclonal treatments even though there are 50,000-100,000 Americans infected by Delta EVERY DAY.”",https://www.politifact.com/factchecks/2022/jan/31/tulsi-gabbard/fact-checking-tulsi-gabbards-misleading-claim-abou/,barely-true,"January 26, 2022",coronavirus
1527,"""Large, peer-reviewed research study proves ivermectin works” as a COVID-19 preventative.",https://www.politifact.com/factchecks/2022/jan/28/facebook-posts/study-brazil-ivermectin-covid-19-prevention-flawed/,false,"January 20, 2022",coronavirus
1528,“All these athletes are dropping dead on the field” after receiving the COVID-19 vaccination.,https://www.politifact.com/factchecks/2022/jan/28/ron-johnson/johnson-wrong-claim-covid-vaccines-are-killing-ath/,false,"January 26, 2022",coronavirus
1529,“National Guard doctors find hospitals empty of COVID patients.”,https://www.politifact.com/factchecks/2022/jan/27/viral-image/story-about-national-guard-doctors-finding-hospita/,pants-fire,"January 19, 2022",coronavirus
1530,"“In New York state, if you’re white, you have to go to the back of the line to get medical help.”",https://www.politifact.com/factchecks/2022/jan/27/donald-trump/no-new-york-has-not-delayed-covid-19-treatment-whi/,pants-fire,"January 15, 2022",coronavirus
1531,“The CDC admits that natural immunity from prior infections is superior to vaccinated immunity alone.”,https://www.politifact.com/factchecks/2022/jan/26/blog-posting/blog-post-ignores-important-context-about-covid-19/,barely-true,"January 19, 2022",coronavirus
1532,"“There’s 150 I believe now – it’s over 100 professional athletes dead, professional athletes, the prime of their life, dropping dead that are vaccinated, right on the pitch, right on the field, right on the court.""",https://www.politifact.com/factchecks/2022/jan/26/john-stockton/john-stocktons-claim-hundreds-athletes-are-abruptl/,false,"January 23, 2022",coronavirus
1533,Image from news broadcast shows a hospital in France trying to pass off a mannequin as a COVID-19 patient.,https://www.politifact.com/factchecks/2022/jan/25/instagram-posts/image-news-broadcast-mannequin-hospital-doctored/,pants-fire,"January 7, 2022",coronavirus
1534,"COVID-19-induced pneumonia is ""is actually mast cell degranulation of the lungs,"" a type of allergic reaction.",https://www.politifact.com/factchecks/2022/jan/25/facebook-posts/doctors-dispute-claim-covid-19-pneumonia-actually-/,false,"January 14, 2022",coronavirus
1535,President Joe Biden gave Congress an exemption from vaccine mandate,https://www.politifact.com/factchecks/2022/jan/25/facebook-posts/biden-didnt-exempt-congress-vaccine-mandate-he-sim/,false,"January 22, 2022",coronavirus
1536,Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,https://www.politifact.com/factchecks/2022/jan/25/viral-image/social-media-claims-about-louie-andersons-flight-s/,false,"January 22, 2022",coronavirus
1537,"""Total deaths from COVID MUCH LOWER than reported.”",https://www.politifact.com/factchecks/2022/jan/24/youtube-videos/no-death-totals-covid-19-england-have-not-been-ove/,pants-fire,"January 22, 2022",coronavirus
1538,"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.",https://www.politifact.com/factchecks/2022/jan/24/facebook-posts/covid-19-vaccines-do-not-contain-graphene-are-not-/,false,"January 22, 2022",coronavirus
1539,The CDC said that 75% of COVID-19 deaths have involved people with at least four comorbidities.,https://www.politifact.com/factchecks/2022/jan/24/aaron-rodgers/aaron-rodgers-repeats-debunked-cdc-data-covid-19-d/,false,"January 21, 2022",coronavirus
1540,"Estimated annual COVID-19 deaths in the U.S. totals 27,530, after you subtract those who died “with, not from” COVID-19, not in nursing homes and who didn't have four or more comorbidities.",https://www.politifact.com/factchecks/2022/jan/21/instagram-posts/covid-19-death-toll-has-not-been-overcounted/,pants-fire,"January 20, 2022",coronavirus
1541,“Moderna COVID vaccine is no longer recommended due to heart inflammation.”,https://www.politifact.com/factchecks/2022/jan/21/facebook-posts/headline-misleads-about-moderna-vaccine-recommenda/,barely-true,"January 19, 2022",coronavirus
1542,Four players have dropped out of the Australian Open with “chest pains.”,https://www.politifact.com/factchecks/2022/jan/21/viral-image/no-tennis-players-havent-dropped-out-australian-op/,false,"January 19, 2022",coronavirus
1543,"Omicron is “the fastest-spreading virus known to humankind.""",https://www.politifact.com/factchecks/2022/jan/20/facebook-posts/omicron-variant-fastest-spreading-virus-it-depends/,mostly-true,"January 5, 2022",coronavirus
1544,Novak Djokovic is the first professional athlete to be banned from a major sporting event for “not taking drugs.”,https://www.politifact.com/factchecks/2022/jan/20/tweets/no-djokovic-isnt-first-athlete-be-banned-sporting-/,false,"January 16, 2022",coronavirus
1545,“If you stop testing (for COVID-19) it all goes away and people just have colds like before.”,https://www.politifact.com/factchecks/2022/jan/19/facebook-posts/no-putting-stop-covid-19-testing-wont-make-pandemi/,false,"January 5, 2022",coronavirus
1546,"""Even the WHO has conceded that the (SARS- CoV-2) virus … is no more dangerous than the common flu, with an infection fatality rate of 0.14%.""",https://www.politifact.com/factchecks/2022/jan/19/reiner-fuellmich/no-who-has-not-said-covid-19-no-worse-flu/,false,"December 30, 2021",coronavirus
1547,Carlos Gimenez “wants a national database to track you and discriminate against you.”,https://www.politifact.com/factchecks/2022/jan/19/america-first-political-committee/attack-calls-gop-house-member-socialist-wrong-bill/,false,"January 10, 2022",coronavirus
1548,"""Mask mandates on children lead to learning loss that harms early childhood development.""",https://www.politifact.com/factchecks/2022/jan/19/scott-fitzgerald/lawmakers-claim-mask-mandates-harm-early-childhood/,barely-true,"December 21, 2021",coronavirus
1549,Video shows Alexandria Ocasio-Cortez pouring shots for a group of people “days before testing positive” for COVID-19.,https://www.politifact.com/factchecks/2022/jan/18/tiktok-posts/no-video-alexandria-ocasio-cortez-wasnt-filmed-day/,false,"January 9, 2022",coronavirus
1550,"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",https://www.politifact.com/factchecks/2022/jan/18/roger-williams/williams-accurate-there-were-more-covid-19-deaths-/,true,"December 2, 2021",coronavirus
1551,"Says Pfizer CEO Albert Bourla said: “Two doses of the vaccine offers very limited protection, if any.”",https://www.politifact.com/factchecks/2022/jan/14/blog-posting/claim-about-pfizer-ceos-description-vaccine-leaves/,barely-true,"January 13, 2022",coronavirus
1552,“Fully vaccinated Australians in hospital for COVID-19 surpass unvaccinated”,https://www.politifact.com/factchecks/2022/jan/14/blog-posting/australia-vaccination-status-hospitalized-covid-19/,half-true,"January 12, 2022",coronavirus
1553,Video shows Rafael Nadal and Roger Federer laughing at Novak Djokovic after he was stuck in an Australian airport.,https://www.politifact.com/factchecks/2022/jan/13/viral-image/no-isnt-real-video-nadal-and-federer-laughing-djok/,false,"January 5, 2022",coronavirus
1554,“The CDC director just said that 75% of ‘Covid deaths’ occurred in people with at least four comorbidities.”,https://www.politifact.com/factchecks/2022/jan/12/facebook-posts/social-media-claims-distort-cdc-directors-comment-/,false,"January 11, 2022",coronavirus
1555,"""Japan drops all vaxxine mandates, places myocarditis warning on label.""",https://www.politifact.com/factchecks/2022/jan/12/blog-posting/headline-about-japan-dropping-vaccine-mandates-mis/,barely-true,"January 6, 2022",coronavirus
1556,"“You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”",https://www.politifact.com/factchecks/2022/jan/12/jen-psaki/data-suggests-unvaccinated-are-20-times-more-likel/,true,"January 10, 2022",coronavirus
1557,Washington’s State Board of Health will discuss mandatory COVID-19 quarantines and vaccine requirements for schoolchildren at a Jan. 12 meeting.,https://www.politifact.com/factchecks/2022/jan/11/facebook-posts/washington-state-changes-covid-meeting-quarantine/,barely-true,"January 9, 2022",coronavirus
1558,"Walgreens refrigerators are scanning shoppers’ hands and foreheads for “the mark of the beast,” and that “if you don’t have the mark later on, you won’t be able to buy.”",https://www.politifact.com/factchecks/2022/jan/11/facebook-posts/no-high-tech-refrigerators-walgreens-arent-scannin/,pants-fire,"December 31, 2021",coronavirus
1559,“New Zealand okays euthanasia for COVID patients.”,https://www.politifact.com/factchecks/2022/jan/11/blog-posting/new-zealand-didnt-ok-euthanasia-covid-19-patients-/,barely-true,"December 20, 2021",coronavirus
1560,"""Biden's CDC Director ADMITS Her Own Employees Aren't Getting Vaccinated.""",https://www.politifact.com/factchecks/2022/jan/11/facebook-posts/cdc-employees-arent-avoiding-vaccination-and-their/,false,"December 29, 2021",coronavirus
1561,Says Bob Saget died from the COVID-19 vaccine.,https://www.politifact.com/factchecks/2022/jan/10/tweets/social-media-posts-try-connect-sagets-death-covid-/,false,"January 10, 2022",coronavirus
1562,"“We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators” due to the coronavirus.",https://www.politifact.com/factchecks/2022/jan/07/sonia-sotomayor/fact-checking-sotomayor-kids-severe-covid-19/,false,"January 7, 2022",coronavirus
1563,“No one has been hospitalized for” the omicron variant of COVID-19.,https://www.politifact.com/factchecks/2022/jan/07/rand-paul/sen-rand-pauls-ad-was-wrong-claiming-there-are-no-/,false,"January 4, 2022",coronavirus
1564,“Data from around the world suggests that omicron favors the fully vaccinated.”,https://www.politifact.com/factchecks/2022/jan/07/blog-posting/no-omicron-does-not-favor-vaccinated/,false,"January 3, 2022",coronavirus
1565,"If you have “natural immunity,” getting vaccinated against COVID-19 “is more likely to harm you severely.”",https://www.politifact.com/factchecks/2022/jan/07/facebook-posts/no-getting-covid-19-vaccine-after-youve-been-infec/,false,"January 4, 2022",coronavirus
1566,"""Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated”",https://www.politifact.com/factchecks/2022/jan/07/gateway-pundit/report-about-omicron-cases-germany-was-based-incor/,false,"December 31, 2021",coronavirus
1567,"""Half a million sharks could be killed to make the COVID-19 vaccine.""",https://www.politifact.com/factchecks/2022/jan/07/facebook-posts/covid-19-vaccines-wont-lead-deaths-half-million-sh/,false,"December 19, 2021",coronavirus
1568,"When children are given vaccines for COVID-19, “a viral gene will be injected into your children's cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs.""",https://www.politifact.com/factchecks/2022/jan/07/tiktok-posts/claim-children-will-be-harmed-spike-proteins-covid/,false,"January 3, 2022",coronavirus
1569,"Tylenol ""ruins your ability to kill” COVID-19.",https://www.politifact.com/factchecks/2022/jan/05/instagram-posts/no-tylenol-doesnt-ruin-your-ability-fight-covid-19/,false,"December 31, 2021",coronavirus
1570,“Pfizer CEO: New Pill Will Have a Microchip That Transmits Info Once You Swallow It!”,https://www.politifact.com/factchecks/2022/jan/05/blog-posting/old-video-clip-pfizer-ceo-not-referring-microchips/,false,"January 2, 2022",coronavirus
1571,President Joe Biden “never had a” COVID-19 “plan.”,https://www.politifact.com/factchecks/2022/jan/05/save-america-pac/bidens-no-federal-solution-clip-doesnt-save-trump-/,false,"December 29, 2021",coronavirus
1572,“It feels amazing” that unvaccinated people are “4.5 times LESS LIKELY to catch omicron” than people who are fully vaccinated and boosted.,https://www.politifact.com/factchecks/2022/jan/04/facebook-posts/omicron-risk-claim-vaccinated-missing-key-context/,barely-true,"December 22, 2021",coronavirus
1573,"""Yale study: Vaccinated people more likely to be infected than those without the jab.”",https://www.politifact.com/factchecks/2022/jan/04/instagram-posts/danish-study-shows-decline-vaccine-protection-agai/,false,"December 24, 2021",coronavirus
1574,The CDC finally admits its COVID-19 test can’t tell the difference between the virus and the flu,https://www.politifact.com/factchecks/2022/jan/03/instagram-posts/cdc-didnt-say-its-covid-19-tests-cant-differentiat/,false,"January 29, 2022",coronavirus
1575,"""By declining the vax, I am 100% safe from adverse reactions and 99.8% safe from COVID.""",https://www.politifact.com/factchecks/2022/jan/03/instagram-posts/no-declining-covid-19-vaccine-wont-make-you-998-sa/,barely-true,"December 4, 2021",coronavirus
1576,Vaccines are why flights have been shut down worldwide.,https://www.politifact.com/factchecks/2022/jan/03/facebook-posts/no-vaccines-are-not-why-flights-have-been-canceled/,false,"December 30, 2021",coronavirus
1577,"Says Betty White said Dec. 28, days before she died, “Eat healthy and get all your vaccines. I just got boosted today.”",https://www.politifact.com/factchecks/2022/jan/03/facebook-posts/did-betty-white-say-she-got-her-covid-19-booster-d/,pants-fire,"January 1, 2022",coronavirus
1578,“Six-month Pfizer data show COVID vaccine causes more illness than it prevents.”,https://www.politifact.com/factchecks/2022/jan/03/blog-posting/claim-pfizer-data-shows-vaccine-does-more-harm-goo/,pants-fire,"December 19, 2021",coronavirus
1579,“WHO Director-General: The vaccines are being used to kill children.”,https://www.politifact.com/factchecks/2021/dec/23/tweets/twitter-post-misconstrues-what-who-director-genera/,false,"December 22, 2021",coronavirus
1580,Teens are “more likely to be hospitalized with myocarditis” from the COVID-19 vaccines than to be “hospitalized with COVID.”,https://www.politifact.com/factchecks/2021/dec/23/peter-mccollough/benefits-covid-19-vaccines-far-outweigh-risks-teen/,false,"December 6, 2021",coronavirus
1581,People vaccinated for COVID-19 “do not spread the disease to anyone else.”,https://www.politifact.com/factchecks/2021/dec/22/joe-biden/biden-says-vaccinated-people-cant-spread-covid-19-/,barely-true,"December 14, 2021",coronavirus
1582,"""Electromagnetic radiation from wireless technologies, including and especially 5G, can cause the same symptoms as COVID-19!""",https://www.politifact.com/factchecks/2021/dec/21/blog-posting/no-5g-technology-does-not-cause-covid-19-symptoms/,false,"December 17, 2021",coronavirus
1583,“They've now killed close to twice as many kids from the vaccine as have died from COVID.”,https://www.politifact.com/factchecks/2021/dec/21/steve-kirsch/contorted-claim-children-killed-covid-19-vaccines-/,pants-fire,"December 12, 2021",coronavirus
1584,"The omicron variant of COVID-19 “came out” in 2021, but “the copyright on this book” about the variant is 2020.",https://www.politifact.com/factchecks/2021/dec/20/facebook-posts/self-published-book-omicron-was-not-copyrighted-va/,false,"December 14, 2021",coronavirus
1585,“Maybe they’re just calling the common cold … the omicron variant.”,https://www.politifact.com/factchecks/2021/dec/20/facebook-posts/no-public-health-officials-arent-passing-common-co/,false,"December 20, 2021",coronavirus
1586,“Moderna patent uncovers horror nanocensor contained in bioweapon.”,https://www.politifact.com/factchecks/2021/dec/20/facebook-posts/no-modernas-covid-19-vaccine-does-not-contain-wire/,false,"December 8, 2021",coronavirus
1587,“Santa Claus arrested by German police for not wearing a mask.”,https://www.politifact.com/factchecks/2021/dec/17/blog-posting/no-german-police-didnt-arrest-santa-not-wearing-ma/,false,"December 14, 2021",coronavirus
1588,“Dr. Fauci opens up the possibility that the COVID-19 vaccine could be making people more likely to be infected by the virus.”,https://www.politifact.com/factchecks/2021/dec/17/viral-image/old-fauci-comments-about-vaccine-safety-are-being-/,false,"December 13, 2021",coronavirus
1589,Photo shows “the jabbed and the unjabbed … separated with a fence in a supermarket” in Germany.,https://www.politifact.com/factchecks/2021/dec/17/viral-image/no-isnt-photo-fence-german-market/,false,"December 3, 2021",coronavirus
1590,Microsoft and Bill Gates created a 1999 video game called “Omikron.”,https://www.politifact.com/factchecks/2021/dec/17/facebook-posts/no-microsoft-and-bill-gates-didnt-develop-video-ga/,false,"December 4, 2021",coronavirus
1591,Soft-tissue cancer diagnoses have “climbed through the roof” in 2021 as a result of COVID-19 vaccines.,https://www.politifact.com/factchecks/2021/dec/16/facebook-posts/theres-no-evidence-huge-spike-soft-tissue-cancers/,false,"December 10, 2021",coronavirus
1592,“They've planned this” COVID-19 “pandemic all along!”,https://www.politifact.com/factchecks/2021/dec/16/facebook-posts/claim-jesse-ventura-show-covid-19-pandemic-was-pla/,pants-fire,"July 8, 2021",coronavirus
1593,The COVID-19 vaccines cause AIDS.,https://www.politifact.com/factchecks/2021/dec/15/facebook-posts/no-covid-19-vaccines-do-not-cause-aids/,pants-fire,"December 14, 2021",coronavirus
1594,"""2,809 Dead Babies in VAERS Following COVID Shots as New Documents Prove Pfizer, the FDA, and the CDC Knew the Shots Were Not Safe for Pregnant Women""",https://www.politifact.com/factchecks/2021/dec/15/blog-posting/vaers-data-misused-spread-fears-about-vaccines-imp/,false,"December 4, 2021",coronavirus
1595,"Says Joe Biden “shut down travel from 8 countries in response to the Omicron variant, but he refuses to require a #COVID19 test for illegal immigrants crossing our Southern border.”",https://www.politifact.com/factchecks/2021/dec/14/glenn-grothman/some-migrants-being-tested-covid-southern-border-o/,half-true,"November 30, 2021",coronavirus
1596,Says Anthony Fauci “wants Americans to get 4 shots per year.”,https://www.politifact.com/factchecks/2021/dec/13/facebook-posts/no-fauci-didnt-say-he-wants-americans-get-four-cov/,false,"November 26, 2021",coronavirus
1597,"At Lions Gate Hospital in Vancouver, “13 babies were reportedly stillborn at the hospital in a period of 24 hours. All of their mothers had received a COVID-19 injection.”",https://www.politifact.com/factchecks/2021/dec/13/blog-posting/vancouver-hospital-did-not-see-surge-stillbirths-a/,false,"November 30, 2021",coronavirus
1598,"Around the world, people who exercise their ""health autonomy"" and don't get vaccinated are being put ""basically into internment camps.""",https://www.politifact.com/factchecks/2021/dec/13/ron-johnson/johnson-falsely-says-unvaccinated-people-around-wo/,pants-fire,"December 8, 2021",coronavirus
1599,"Deaths from vaccines have totaled 1,621 from Johnson & Johnson, 4,799 from Moderna, 13,039 from Pfizer and 73 from unknown vaccines. And this is an undercount because “only 1% of deaths are reported.”",https://www.politifact.com/factchecks/2021/dec/10/instagram-posts/theres-no-basis-claim-thousands-have-died-covid-19/,false,"December 6, 2021",coronavirus
1600,The COVID-19 vaccine is the “deadliest vaccine ever made.”,https://www.politifact.com/factchecks/2021/dec/10/robert-f-kennedy-jr/no-covid-19-vaccine-not-deadliest-vaccine-ever-mad/,pants-fire,"December 6, 2021",coronavirus
1601,Warnings about heart problems and blood clots in cold weather are to cover up COVID-19 vaccine side effects.,https://www.politifact.com/factchecks/2021/dec/10/facebook-posts/heart-health-warnings-about-cold-weather-are-real-/,false,"December 8, 2021",coronavirus
1602,"""Canada joins the no jab, no food trend""",https://www.politifact.com/factchecks/2021/dec/10/facebook-posts/grocery-shopping-canada-possible-without-covid-19-/,barely-true,"December 7, 2021",coronavirus
1603,"The COVID-19 vaccines ""suppress the immune system"" and make people more susceptible to HIV, shingles and herpes.",https://www.politifact.com/factchecks/2021/dec/10/blog-posting/no-getting-covid-19-vaccine-wont-weaken-your-immun/,false,"November 22, 2021",coronavirus
1604,"Society is “choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.”",https://www.politifact.com/factchecks/2021/dec/10/facebook-posts/clots-heart-problems-covid-19-vaccines-rare-deaths/,false,"December 9, 2021",coronavirus
1605,"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”",https://www.politifact.com/factchecks/2021/dec/09/facebook-posts/no-covid-19-vaccines-do-not-increase-transmission-/,false,"December 6, 2021",coronavirus
1606,"A campaign poster for New Zealand Prime Minister Jacinda Ardern with the slogan, “No jab. No job, no refunds.”",https://www.politifact.com/factchecks/2021/dec/08/facebook-posts/fake-new-zealand-poster-targets-vaccine-refusers/,false,"December 6, 2021",coronavirus
1607,Says Vice President Kamala Harris called the unvaccinated “dirty Trump people.”,https://www.politifact.com/factchecks/2021/dec/08/instagram-posts/no-kamala-harris-didnt-call-unvaccinated-americans/,pants-fire,"December 7, 2021",coronavirus
1608,"""Pathogens evolve to become less, not more, virulent over time” because otherwise, “they’d destroy their hosts which they depend on to live.”",https://www.politifact.com/factchecks/2021/dec/08/facebook-posts/viruses-and-other-pathogens-can-evolve-become-more/,false,"November 28, 2021",coronavirus
1609,"“SHOCKING: In the wake of Austria’s drastic lockdown of unvaccinated people, EU chief calls for throwing out Nuremberg Code.”",https://www.politifact.com/factchecks/2021/dec/07/instagram-posts/european-leader-did-not-say-nuremberg-code-should-/,pants-fire,"December 5, 2021",coronavirus
1610,“Only the fully vaccinated should fear the new ‘worst ever’ Covid-19 variant; data shows they already account for 4 in every 5 Covid deaths”,https://www.politifact.com/factchecks/2021/dec/07/blog-posting/article-misleads-dangers-omicron-variant-using-uk-/,false,"December 3, 2021",coronavirus
1611,A video shows people in Romania protesting COVID-19 vaccines.,https://www.politifact.com/factchecks/2021/dec/07/viral-image/old-footage-romanian-protest-mischaracterized-covi/,false,"December 4, 2021",coronavirus
1612,Says Boris Johnson faked getting his booster shot.,https://www.politifact.com/factchecks/2021/dec/07/viral-image/do-you-think-boris-johnson-faked-his-booster-shot-/,false,"December 3, 2021",coronavirus
1613,"""Tap water is testing positive for COVID!”",https://www.politifact.com/factchecks/2021/dec/06/tweets/no-drinking-water-isnt-testing-positive-covid-19/,false,"December 5, 2021",coronavirus
1614,COVID-19 vaccines are gene therapy and a recent Forbes article proves that.,https://www.politifact.com/factchecks/2021/dec/03/instagram-posts/covid-19-vaccines-are-not-gene-therapy-and-forbes-/,false,"December 2, 2021",coronavirus
1615,Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines.,https://www.politifact.com/factchecks/2021/dec/02/blog-posting/heart-complications-arent-yet-listed-symptom-omicr/,false,"November 28, 2021",coronavirus
1616,"""Don’t be fooled by the next ‘Variant’! There are actually 1000’s of them. They just will pick the next one to keep the fear going.""",https://www.politifact.com/factchecks/2021/dec/01/facebook-posts/facebook-post-wrongly-suggests-variants-are-fake-r/,barely-true,"November 27, 2021",coronavirus
1617,Athletes are collapsing with heart-related issues due to the COVID-19 vaccines,https://www.politifact.com/factchecks/2021/dec/01/blog-posting/theres-no-proof-covid-19-vaccines-are-causing-heal/,false,"November 16, 2021",coronavirus
1618,Vaccinated people under 60 in England “are dying at twice the rate of unvaccinated people the same age. ... I don’t know how to explain this other than vaccine-caused mortality.”,https://www.politifact.com/factchecks/2021/nov/30/alex-berenson/alex-berenson-misrepresents-data-death-rates-vacci/,barely-true,"November 20, 2021",coronavirus
1619,“Only Reuters” reported that the doctor who detected the omicron variant said its symptoms are “very mild.”,https://www.politifact.com/factchecks/2021/nov/30/viral-image/many-news-outlets-have-reported-mild-symptoms-omic/,false,"November 28, 2021",coronavirus
1620,"“COVID death rates 4 to 1, vaccinated to unvaxxed”",https://www.politifact.com/factchecks/2021/nov/30/blog-posting/vaccinated-people-england-are-not-dying-faster-rat/,false,"November 19, 2021",coronavirus
1621,Omicron 'hysteria' was timed so that it would coincide with and distract from the Ghislaine Maxwell trial.,https://www.politifact.com/factchecks/2021/nov/30/facebook-posts/no-omicron-variant-was-not-timed-distract-ghislain/,pants-fire,"November 27, 2021",coronavirus
1622,The omicron variant’s name is evidence the coronavirus pandemic is a hoax.,https://www.politifact.com/factchecks/2021/nov/30/viral-image/new-coronavirus-variant-named-letter-greek-alphabe/,false,"November 27, 2021",coronavirus
1623,“Celine Dion has been paralyzed by the COVID vaccine and cancels her tour.”,https://www.politifact.com/factchecks/2021/nov/29/viral-image/baseless-claims-about-covid-19-vaccine-paralysis-a/,false,"November 28, 2021",coronavirus
1624,Photo shows people recently protesting in Austria.,https://www.politifact.com/factchecks/2021/nov/29/viral-image/old-photo-russian-protesters-mischaracterized-covi/,false,"November 23, 2021",coronavirus
1625,“Vitamin D levels of 50 ng/mL correlates to zero mortality rate from COVID.”,https://www.politifact.com/factchecks/2021/nov/24/instagram-posts/can-taking-vitamin-d-really-eliminate-all-covid-19/,false,"November 3, 2021",coronavirus
1626,"""Fauci admits Covid vax doesn't work""",https://www.politifact.com/factchecks/2021/nov/23/alex-jones/no-fauci-did-not-admit-covid-19-vaccines-arent-wor/,false,"November 14, 2021",coronavirus
1627,"""Spike protein goes to nucleus and impairs DNA repair.""",https://www.politifact.com/factchecks/2021/nov/23/blog-posting/dna-damage-covid-19-spike-proteins-lab-study-does-/,half-true,"November 4, 2021",coronavirus
1628,COVID-19 vaccines contain luciferase.,https://www.politifact.com/factchecks/2021/nov/19/blog-posting/no-covid-19-vaccines-dont-contain-luciferase/,false,"November 4, 2021",coronavirus
1629,Says Kamala Harris said only vaccinated people are hospitalized and dying from COVID-19.,https://www.politifact.com/factchecks/2021/nov/17/viral-image/altered-video-changes-kamala-harris-comments-about/,pants-fire,"November 9, 2021",coronavirus
1630,"""Bill Gates just admitted that the Pfizer and Moderna mRNA vaccines don’t work well.""",https://www.politifact.com/factchecks/2021/nov/17/tweets/bill-gates-said-we-need-vaccines-halt-transmission/,false,"November 9, 2021",coronavirus
1631,The COVID-19 vaccines “failed miserably” in animal trials and are “a type of gene therapy that several top scientists warn will kill you.”,https://www.politifact.com/factchecks/2021/nov/17/tiktok-posts/video-originated-infowars-filled-falsehoods-about-/,false,"November 14, 2021",coronavirus
1632,“Disturbing Pfizer ad tells kids they’ll get superpowers from COVID jab.”,https://www.politifact.com/factchecks/2021/nov/16/blog-posting/pfizer-ad-doesnt-say-covid-19-vaccines-gives-kids-/,false,"November 3, 2021",coronavirus
1633,"A new medical diagnosis code has been designated for people who decline vaccines, and it will be used to help determine who will go into ""education camps.""",https://www.politifact.com/factchecks/2021/nov/16/facebook-posts/medical-diagnosis-code-declining-vaccines-not-new-/,false,"November 14, 2021",coronavirus
1634,“Stalin once ripped all the feathers off a live chicken as a lesson to his followers.”,https://www.politifact.com/factchecks/2021/nov/16/facebook-posts/false-anecdote-about-stalin-and-chicken-circulates/,false,"October 29, 2021",coronavirus
1635,"""Children are 50 times more likely to be killed by the Covid vaccines than by the virus itself.""",https://www.politifact.com/factchecks/2021/nov/15/viral-image/kids-50-times-more-likely-be-killed-covid-19-vacci/,pants-fire,"November 5, 2021",coronavirus
1636,“Wife of Pfizer’s CEO dies after complications from the vaccine.”,https://www.politifact.com/factchecks/2021/nov/15/conservative-beaver/pfizer-ceos-wife-alive-and-well-she-did-not-die-va/,pants-fire,"November 10, 2021",coronavirus
1637,"""Report finds increased risk of spontaneous abortion following COVID-19 vaccination during pregnancy” after correcting “major error” in CDC study.",https://www.politifact.com/factchecks/2021/nov/12/blog-posting/cdc-study-covid-19-vaccination-and-spontaneous-abo/,false,"November 1, 2021",coronavirus
1638,"No new COVID-19 cases in Uttar Pradesh, India, due to use of ivermectin",https://www.politifact.com/factchecks/2021/nov/12/facebook-posts/no-scientific-basis-claims-ivermectins-success-utt/,false,"November 1, 2021",coronavirus
1639,"""There is no added safety to the public if you're vaccinated.""",https://www.politifact.com/factchecks/2021/nov/11/viral-image/being-vaccinated-against-covid-19-limits-chance-vi/,pants-fire,"November 6, 2021",coronavirus
1640,The military arrested “bedridden Gavin Newsom.”,https://www.politifact.com/factchecks/2021/nov/11/blog-posting/no-military-didnt-arrest-gov-gavin-newsom/,pants-fire,"November 7, 2021",coronavirus
1641,“Gavin Newsom is out of sight likely because he has Guillain-Barre syndrome from his booster shot.”,https://www.politifact.com/factchecks/2021/nov/10/steve-kirsch/claim-about-gavin-newsoms-reaction-covid-19-booste/,false,"November 9, 2021",coronavirus
